"flowerID","garden","species","rater","tot.vase.days"
"22254",2,2,2,5
"22252",2,2,2,18
"222177",2,2,2,11
"22277",2,2,2,9
"222137",2,2,2,10
"22214",2,2,2,10
"222156",2,2,2,7
"222171",2,2,2,12
"22250",2,2,2,13
"222269",2,2,2,3
"222194",2,2,2,12
"222184",2,2,2,11
"222106",2,2,2,13
"222159",2,2,2,5
"222298",2,2,2,11
"222189",2,2,2,7
"222154",2,2,2,15
"222138",2,2,2,10
"222281",2,2,2,12
"22281",2,2,2,4
"22285",2,2,2,6
"222235",2,2,2,18
"22265",2,2,2,6
"22249",2,2,2,7
"222217",2,2,2,10
"22221",2,2,2,10
"222262",2,2,2,7
"222183",2,2,2,5
"222270",2,2,2,10
"22226",2,2,2,2
